,x_pixel,y_pixel
C_2473,13985,10218
C_2475,17265,8619
C_2476,12723,10074
C_2478,17015,11665
C_2479,16510,11086
C_2480,7179,19072
C_2483,11969,13411
C_2491,7930,13124
C_2493,9442,10512
C_2494,20804,14418
C_2499,17012,8474
C_2500,15247,9781
C_2507,18786,15870
C_2511,16512,13697
C_2514,11467,16312
C_2516,18780,9488
