,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
2920,11413,16699,tumor,a_others,a_others,a_others,a_others,tumor2
2921,20245,14510,tumor,a_others,a_others,a_others,a_others,tumor1
2922,5348,12066,tumor,a_others,a_others,a_others,a_others,tumor2
2923,5849,9744,tumor,a_others,a_others,a_others,a_others,tumor1
2924,15695,10455,tumor,tumor_5,a_others,a_others,a_others,tumor2
2925,20006,23360,immune,a_others,a_others,a_others,a_others,immune
2926,7870,10322,stroma,a_others,a_others,a_others,a_others,stroma1
2927,13180,16552,stroma,stroma_1,a_others,stroma,a_others,stroma2
2928,11648,5238,tumor,a_others,a_others,a_others,a_others,tumor2
2929,6103,10759,tumor,a_others,a_others,a_others,a_others,tumor1
2930,6875,20188,tumor,a_others,a_others,a_others,a_others,tumor2
2931,20746,11898,stroma,a_others,a_others,a_others,a_others,stroma2
2932,7872,11772,stroma,a_others,a_others,a_others,a_others,stroma1
2933,10643,8141,tumor,a_others,a_others,a_others,a_others,tumor2
2934,14435,11762,tumor,tumor_4,a_others,tumor,a_others,tumor2
2935,5613,20335,tumor,a_others,a_others,a_others,a_others,tumor1
2936,17725,17415,tumor,tumor_2,a_others,a_others,a_others,tumor2
2937,14957,22787,immune,a_others,a_others,a_others,a_others,immune
2938,23015,9718,stroma,a_others,a_others,a_others,a_others,stroma2
2939,21255,14508,tumor,a_others,a_others,a_others,a_others,tumor1
2940,21504,12332,immune,a_others,a_others,a_others,a_others,immune
2941,4852,18160,tumor,a_others,a_others,a_others,a_others,tumor2
2942,16219,22930,stroma,a_others,a_others,a_others,a_others,stroma2
2943,15189,9875,tumor,a_others,a_others,a_others,a_others,tumor2
2944,12180,22937,stroma,a_others,a_others,a_others,a_others,stroma1
2945,15706,17708,tumor,tumor_2,a_others,a_others,a_others,tumor2
2946,10899,10317,stroma,a_others,a_others,a_others,a_others,stroma2
2947,23011,7107,tumor,a_others,a_others,a_others,a_others,tumor1
2948,10644,8431,stroma,a_others,a_others,a_others,a_others,stroma2
2949,4348,18161,tumor,a_others,a_others,a_others,a_others,tumor2
2950,5617,22947,tumor,a_others,a_others,a_others,a_others,tumor1
2951,4857,21352,tumor,a_others,a_others,a_others,a_others,tumor1
2952,13669,6105,immune,a_others,a_others,a_others,a_others,immune
2953,13691,20323,tumor,a_others,a_others,a_others,a_others,tumor2
2954,9883,6546,stroma,stroma_2,a_others,a_others,a_others,stroma1
2955,12156,6978,stroma,a_others,a_others,a_others,a_others,stroma1
2956,19735,10739,immune,a_others,a_others,a_others,a_others,immune
2957,10412,21924,stroma,a_others,a_others,a_others,a_others,stroma1
2958,10150,15686,tumor,a_others,a_others,a_others,a_others,tumor2
2959,15457,19885,tumor,a_others,a_others,a_others,a_others,tumor2
2960,12173,18294,stroma,stroma_1,a_others,stroma,a_others,stroma2
2961,6877,21349,tumor,a_others,a_others,a_others,a_others,tumor2
2962,6861,11194,stroma,a_others,a_others,a_others,a_others,stroma1
2963,7637,22943,immune,immune_2,immune_2,a_others,immune,immune
2964,19244,20314,stroma,a_others,a_others,a_others,a_others,stroma2
2965,6626,22365,tumor,a_others,a_others,a_others,a_others,tumor1
2966,4605,21497,tumor,a_others,a_others,a_others,a_others,tumor1
2967,17983,21042,tumor,a_others,a_others,a_others,a_others,tumor2
2968,22254,7543,tumor,a_others,a_others,a_others,a_others,tumor1
2969,20493,11753,stroma,a_others,a_others,a_others,a_others,stroma2
2970,6356,10904,tumor,a_others,a_others,a_others,a_others,tumor1
2971,9643,14236,tumor,a_others,a_others,a_others,a_others,tumor1
2972,6362,14966,tumor,a_others,a_others,a_others,a_others,tumor1
2973,13938,16986,stroma,stroma_1,a_others,stroma,a_others,stroma2
2974,10394,10318,stroma,a_others,a_others,a_others,a_others,stroma2
2975,14704,22352,immune,a_others,a_others,a_others,a_others,immune
2976,11671,20036,tumor,a_others,a_others,a_others,a_others,tumor2
2977,16454,11469,tumor,tumor_5,a_others,a_others,a_others,tumor2
2978,12924,14376,tumor,tumor_4,a_others,tumor,a_others,tumor2
2979,6858,8872,tumor,a_others,a_others,a_others,a_others,tumor1
2980,9136,13366,stroma,a_others,a_others,a_others,a_others,stroma1
2981,15451,15533,tumor,tumor_2,a_others,a_others,a_others,tumor2
2982,6623,20624,immune,a_others,a_others,a_others,a_others,immune
2983,14945,14953,tumor,a_others,a_others,a_others,a_others,tumor1
2984,10651,13074,stroma,a_others,a_others,a_others,a_others,stroma1
2985,12917,9153,tumor,a_others,a_others,a_others,a_others,tumor2
2986,10409,19893,tumor,a_others,a_others,a_others,a_others,tumor2
2987,6610,11919,tumor,a_others,a_others,a_others,a_others,tumor1
2988,6608,10759,immune,a_others,a_others,a_others,a_others,immune
2989,12171,16843,stroma,stroma_1,a_others,stroma,a_others,stroma2
2990,8121,9886,stroma,a_others,a_others,a_others,a_others,stroma1
2991,9885,7417,tumor,a_others,a_others,a_others,a_others,tumor2
2992,5602,13081,tumor,a_others,a_others,a_others,a_others,tumor1
