,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_1141,9451,19795,fat,a_others,a_others,a_others,a_others,fat
C_1144,18280,15291,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1145,19544,16885,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1152,17021,18628,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1154,19541,13694,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1156,11213,14717,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1161,19544,17465,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1163,19543,16015,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1165,7675,9498,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_1166,9702,19070,fat,a_others,a_others,a_others,a_others,fat
C_1169,18786,16451,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1173,10960,13702,immune,a_others,a_others,a_others,a_others,immune_2
C_1174,9450,19505,fat,a_others,a_others,a_others,a_others,fat
C_1176,19032,9053,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1177,13991,16890,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1179,17770,8909,immune,immune_1,a_others,a_others,immune,immune_1
C_1180,9199,20231,fat,a_others,a_others,a_others,a_others,fat
C_1181,9704,21100,fat,a_others,a_others,a_others,a_others,fat
C_1182,14488,7606,fat,a_others,a_others,a_others,a_others,fat
C_1183,15756,15003,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1185,18022,8183,immune,immune_1,a_others,a_others,immune,immune_1
C_1186,11717,14136,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1188,15256,19645,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_1189,19286,10938,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_1191,8437,15154,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_1192,15502,12827,tumor,tumor_4,a_others,a_others,a_others,tumor_4
